,Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
2022,Bournemouth,31,26.3,40.4,38,418,3420,38.0,37,24,61,37,0,0,68,0.0,38.5,38.5,28.4,66.9,504,1006,0.97,0.63,1.61,0.97,1.61,1.01,0.75,1.76,1.01,1.76
2022,Brentford,25,26.2,43.8,38,418,3420,38.0,56,36,92,49,7,8,57,1.0,56.3,50.1,38.4,88.5,392,1131,1.47,0.95,2.42,1.29,2.24,1.48,1.01,2.49,1.32,2.33
2022,Brighton,29,26.3,60.2,38,418,3420,38.0,68,46,114,62,6,6,58,0.0,73.3,68.9,52.2,121.2,809,1849,1.79,1.21,3.0,1.63,2.84,1.93,1.37,3.3,1.81,3.19
2022,Chelsea,32,26.3,58.7,38,418,3420,38.0,37,27,64,34,3,3,81,3.0,49.5,47.2,38.6,85.8,829,1737,0.97,0.71,1.68,0.89,1.61,1.3,1.02,2.32,1.24,2.26
2022,Crystal Palace,26,26.7,46.3,38,418,3420,38.0,38,29,67,37,1,3,82,3.0,39.3,36.8,29.0,65.8,556,1243,1.0,0.76,1.76,0.97,1.74,1.03,0.76,1.8,0.97,1.73
2022,Everton,28,26.6,42.8,38,418,3420,38.0,32,24,56,29,3,3,81,2.0,45.2,42.8,32.4,75.1,500,1052,0.84,0.63,1.47,0.76,1.39,1.19,0.85,2.04,1.13,1.98
2022,Fulham,29,28.2,48.8,38,418,3420,38.0,52,33,85,47,5,9,80,1.0,46.2,39.1,28.5,67.7,663,1326,1.37,0.87,2.24,1.24,2.11,1.22,0.75,1.97,1.03,1.78
2022,Leeds United,29,25.3,47.0,38,418,3420,38.0,45,31,76,44,1,3,89,3.0,47.3,44.9,31.8,76.7,555,1429,1.18,0.82,2.0,1.16,1.97,1.24,0.84,2.08,1.18,2.02
2022,Leicester City,28,26.1,47.7,38,418,3420,38.0,49,36,85,46,3,6,63,2.0,50.5,45.7,38.4,84.1,580,1304,1.29,0.95,2.24,1.21,2.16,1.33,1.01,2.34,1.2,2.21
2022,Liverpool,28,27.4,60.8,38,418,3420,38.0,71,58,129,69,2,4,57,1.0,71.5,68.4,55.6,124.1,719,1992,1.87,1.53,3.39,1.82,3.34,1.88,1.46,3.35,1.8,3.26
