Team,Squad_Size,Average_Age,Number_of_Foreigners,Average_Market_Value,Total_Market_Value,Position,Goal_Difference,Points,Year,Squad_Size_Normalized_by_Avg,Squad_Size_Normalized_by_Max,Average_Age_Normalized_by_Avg,Average_Age_Normalized_by_Max,Number_of_Foreigners_Normalized_by_Avg,Number_of_Foreigners_Normalized_by_Max,Average_Market_Value_Normalized_by_Avg,Average_Market_Value_Normalized_by_Max,Total_Market_Value_Normalized_by_Avg,Total_Market_Value_Normalized_by_Max
chelsea fc,54,26.2,40,21.6,1170.0,3,24,72,2018,1.4025974025974026,1.0,0.998095238095238,0.916083916083916,1.5841584158415842,1.0,1.75331791062949,0.7185628742514971,2.3865861618798956,0.975
tottenham hotspur,34,26.0,20,26.43,898.6,4,28,71,2018,0.8831168831168831,0.6296296296296297,0.9904761904761905,0.9090909090909091,0.7920792079207921,0.5,2.145379276756362,0.8792415169660679,1.832979765013055,0.7488333333333334
manchester united,36,25.9,23,22.16,797.6,6,11,66,2018,0.935064935064935,0.6666666666666666,0.9866666666666666,0.9055944055944055,0.9108910891089109,0.575,1.7987743009050692,0.7371922821024618,1.6269582245430811,0.6646666666666667
arsenal fc,42,25.4,28,15.69,659.05,5,22,70,2018,1.0909090909090908,0.7777777777777778,0.9676190476190476,0.888111888111888,1.108910891089109,0.7,1.2735906489711433,0.5219560878243513,1.3443415469973892,0.5492083333333333
everton fc,40,26.6,29,13.23,529.1,8,8,54,2018,1.0389610389610389,0.7407407407407407,1.0133333333333334,0.9300699300699301,1.1485148514851484,0.725,1.0739072202605626,0.44011976047904194,1.0792672976501307,0.4409166666666667
leicester city,37,26.9,28,11.73,434.1,9,3,52,2018,0.961038961038961,0.6851851851851852,1.0247619047619048,0.9405594405594405,1.108910891089109,0.7,0.9521490320224035,0.39021956087824355,0.8854846605744127,0.36175
west ham united,37,27.1,24,9.7,359.0,10,-3,52,2018,0.961038961038961,0.6851851851851852,1.0323809523809524,0.9475524475524476,0.9504950495049505,0.6,0.7873696172734282,0.3226879574184963,0.7322943864229766,0.2991666666666667
afc bournemouth,37,26.2,17,8.38,310.0,14,-14,45,2018,0.961038961038961,0.6851851851851852,0.998095238095238,0.916083916083916,0.6732673267326733,0.425,0.6802224116238484,0.2787757817697938,0.6323433420365536,0.25833333333333336
southampton fc,40,25.5,19,7.64,305.4,16,-20,39,2018,1.0389610389610389,0.7407407407407407,0.9714285714285714,0.8916083916083916,0.7524752475247525,0.475,0.6201550387596899,0.2541583499667332,0.622960182767624,0.2545
wolverhampton wanderers,40,24.5,26,7.57,302.9,7,1,57,2018,1.0389610389610389,0.7407407407407407,0.9333333333333333,0.8566433566433566,1.0297029702970297,0.65,0.6144729899752426,0.2518296739853626,0.617860639686684,0.2524166666666666
crystal palace,36,26.9,22,8.03,289.0,12,-2,49,2018,0.935064935064935,0.6666666666666666,1.0247619047619048,0.9405594405594405,0.8712871287128713,0.55,0.6518121677016112,0.2671324018629408,0.589507180156658,0.24083333333333334
fulham fc,33,26.2,26,7.7,254.25,19,-47,26,2018,0.8571428571428571,0.6111111111111112,0.998095238095238,0.916083916083916,1.0297029702970297,0.65,0.6250253662892163,0.25615435795076513,0.5186235313315928,0.211875
newcastle united,37,26.6,25,6.61,244.65,13,-6,45,2018,0.961038961038961,0.6851851851851852,1.0133333333333334,0.9300699300699301,0.9900990099009901,0.625,0.5365477495028208,0.21989354624085164,0.49904128590078334,0.203875
watford fc,39,26.7,32,6.13,239.1,11,-7,50,2018,1.0129870129870129,0.7222222222222222,1.0171428571428571,0.9335664335664335,1.2673267326732673,0.8,0.49758512926660986,0.20392548236859614,0.48772030026109664,0.19924999999999998
burnley fc,33,28.6,14,5.98,197.25,15,-23,40,2018,0.8571428571428571,0.6111111111111112,1.0895238095238096,1.0,0.5544554455445545,0.35,0.485409310442794,0.1989354624085163,0.4023539490861619,0.164375
